x,y,zx,zy,zxy,ncd
"boundary.c","conv_3x3.c",51,73,79,0.383561643835616
"boundary.c","corr_3x3.c",51,55,68,0.309090909090909
"boundary.c","corr_gen.c",51,54,64,0.240740740740741
"boundary.c","dilate_bin.c",51,73,83,0.438356164383562
"boundary.c","erode_bin.c",51,74,84,0.445945945945946
"boundary.c","errdif_bin.c",51,64,73,0.343750000000000
"boundary.c","fdct_8x8.c",51,128,137,0.671875000000000
"boundary.c","histogram.c",51,69,76,0.362318840579710
"boundary.c","idct_8x8_0.c",51,104,115,0.615384615384615
"boundary.c","mad_16x16.c",51,67,75,0.358208955223881
"boundary.c","mad_8x8.c",51,67,75,0.358208955223881
"boundary.c","median_3x3.c",51,71,82,0.436619718309859
"boundary.c","mpeg2_vld0.c",51,165,184,0.806060606060606
"boundary.c","mpeg2_vld1.c",51,187,202,0.807486631016043
"boundary.c","perimeter.c",51,66,75,0.363636363636364
"boundary.c","pix_expand.c",51,45,54,0.176470588235294
"boundary.c","pix_sat.c",51,48,56,0.156862745098039
"boundary.c","quantize.c",51,64,73,0.343750000000000
"boundary.c","sad_16x16.c",51,53,66,0.283018867924528
"boundary.c","sad_8x8.c",51,53,66,0.283018867924528
"boundary.c","sobel.c",51,65,73,0.338461538461538
"boundary.c","thr_gt2max.c",51,48,57,0.176470588235294
"boundary.c","thr_gt2thr.c",51,48,57,0.176470588235294
"boundary.c","thr_le2min.c",51,48,58,0.196078431372549
"boundary.c","thr_le2thr.c",51,48,57,0.176470588235294
"boundary.c","wave_horz.c",51,63,72,0.333333333333333
"boundary.c","wave_vert.c",51,63,69,0.285714285714286
"boundary.c","yc_demux_0.c",51,52,61,0.192307692307692
"boundary.c","yc_demux_1.c",51,52,61,0.192307692307692
"boundary.c","ycbcr422p_.c",51,83,94,0.518072289156627
"conv_3x3.c","corr_3x3.c",73,55,79,0.328767123287671
"conv_3x3.c","corr_gen.c",73,54,80,0.356164383561644
"conv_3x3.c","dilate_bin.c",73,73,95,0.301369863013699
"conv_3x3.c","erode_bin.c",73,74,96,0.310810810810811
"conv_3x3.c","errdif_bin.c",73,64,91,0.369863013698630
"conv_3x3.c","fdct_8x8.c",73,128,150,0.601562500000000
"conv_3x3.c","histogram.c",73,69,92,0.315068493150685
"conv_3x3.c","idct_8x8_0.c",73,104,131,0.557692307692308
"conv_3x3.c","mad_16x16.c",73,67,91,0.328767123287671
"conv_3x3.c","mad_8x8.c",73,67,91,0.328767123287671
"conv_3x3.c","median_3x3.c",73,71,96,0.342465753424658
"conv_3x3.c","mpeg2_vld0.c",73,165,194,0.733333333333333
"conv_3x3.c","mpeg2_vld1.c",73,187,216,0.764705882352941
"conv_3x3.c","perimeter.c",73,66,89,0.315068493150685
"conv_3x3.c","pix_expand.c",73,45,73,0.383561643835616
"conv_3x3.c","pix_sat.c",73,48,77,0.397260273972603
"conv_3x3.c","quantize.c",73,64,87,0.315068493150685
"conv_3x3.c","sad_16x16.c",73,53,78,0.342465753424658
"conv_3x3.c","sad_8x8.c",73,53,78,0.342465753424658
"conv_3x3.c","sobel.c",73,65,89,0.328767123287671
"conv_3x3.c","thr_gt2max.c",73,48,76,0.383561643835616
"conv_3x3.c","thr_gt2thr.c",73,48,76,0.383561643835616
"conv_3x3.c","thr_le2min.c",73,48,76,0.383561643835616
"conv_3x3.c","thr_le2thr.c",73,48,76,0.383561643835616
"conv_3x3.c","wave_horz.c",73,63,86,0.315068493150685
"conv_3x3.c","wave_vert.c",73,63,80,0.232876712328767
"conv_3x3.c","yc_demux_0.c",73,52,76,0.328767123287671
"conv_3x3.c","yc_demux_1.c",73,52,76,0.328767123287671
"conv_3x3.c","ycbcr422p_.c",73,83,107,0.409638554216867
"corr_3x3.c","corr_gen.c",55,54,65,0.200000000000000
"corr_3x3.c","dilate_bin.c",55,73,85,0.410958904109589
"corr_3x3.c","erode_bin.c",55,74,84,0.391891891891892
"corr_3x3.c","errdif_bin.c",55,64,75,0.312500000000000
"corr_3x3.c","fdct_8x8.c",55,128,137,0.640625000000000
"corr_3x3.c","histogram.c",55,69,78,0.333333333333333
